correct,incorrect
অতিরঞ্জন,অতিরঞ্জণ
অতিরঞ্জিত,অতিরঞ্জীত
অতিরিক্ত,অতীরিক্ত
অতিশয়,অতীশয়
অতিশয়োক্তি,অতিশয়ক্তি
অতিষ্ঠ,"অতীষ্ঠ, অতিষ্ট"
অতীন্দ্রিয়,অতিন্দ্রীয়
অতীত,অতিত
অতীব,অতিব
অতুলনীয়,অতুলণীয়
অতৃপ্তি,অ-তৃপ্তি
অত্যধিক,অত্যাধিক
অত্যন্ত,অত্যান্ত
অত্যল্প,অত্যাল্প
অত্যাচারিত,অত্যাচারীত
অত্যাচারী,অত্যাচারি
অত্যাধুনিক,অত্যাধুনীক
অত্যাবশ্যক,অত্যাবাশ্যক
অত্যাশ্চর্য,অত্যাচর্য
অত্যাসন্ন,অত্যাস্যন্ন
অত্যুক্তি,অত্যূক্তি
অথই,অথৈ
অথর্ব,অথর্বো
অদক্ষ,অ-দক্ষ
অদরকারি,অদরকারী
অদলবদল,অদল বদল
অদাহ্য,অ-দাহ্য
অদীক্ষিত,অদিক্ষীত
অদূর,অদুর
অদূরদর্শিতা,অদূরদর্শীতা
অদূরদর্শী,অদূরদর্শি
অদূরবর্তী,অদুরবর্তী
অদূরভবিষ্যৎ,অদূর ভবিষ্যত
অদৃষ্ট,অ-দৃষ্ট
অদৃষ্টপূর্ব,অদৃষ্ট পূর্ব
অদৃষ্টবাদ,অদৃষ্ট বাদ
অদৃষ্টবাদিতা,অদৃষ্টবাদীতা
অদৃষ্টবাদী,অদৃষ্টবাদি
অদ্বিতীয়,অ-দ্বিতীয়
অদ্বৈতবাদ,অদৈত্যবাদ
অদ্ভুত,অদ্ভূত
অদ্য (আজ),আদ্য
অদ্যাপি,অদ্যপি
অদ্যাবধি,অদ্যবধি
অদ্রবণীয়,অদ্রবনীয়
অদ্রাব্য,অ-দ্রাব্য
অধঃক্রম,অধোক্রম
অধঃপতন,অধপতন
অধঃস্থ,অধস্থ
অধমর্ণ,অধমর্ন
অধরোষ্ঠ,অধঃরষ্ঠ
অধরৌষ্ঠ্য,অধঃরৌষ্ঠ
অধর্মচারী,অধর্মচারি
অধর্মপরায়ণ,অধর্মপরায়ন
অধস্তন,অধঃস্তন
অধিকতর,অধিকতরো
অধিকন্তু,অধীকন্তু
অধিকরণ,অধিকরন
অধিকর্তা,অধীকর্তা
অধিকাংশ,অধীকাংশ
অধিকারচ্যুত,অধিকার চ্যুত
অধিকারিণী,অধিকারীনি
অধিকারী,অধিকারি
অধিকৃত,অধীকৃত
অধিগ্রহণ,অধিগ্রহন
অধিজিহ্বা,অধি জিহ্বা
অধিদপ্তর,অধি দপ্তর
অধিনায়ক,অধীনায়ক
অধিবর্ষ,অধীবর্ষ
অধিবৃত্ত,অধি বৃত্ত
অধিবাসী,অধিবাসি
অধিবেশন,অধিবেসন
অধিভুক্ত,অধিভূক্ত
অধিমাংস,অধীমাংস
অধিষ্ঠাতা,অধিষ্টাতা
অধিষ্ঠিত,অধিষ্টিত
অধীক্ষক,অধিক্ষক
অধীন,অধীনস্থ
অধীর,অধির
অধীশ্বর,অধিশ্বর
অধুনা,অধূনা
অধৈর্য,অধৈর্য্য
অধোগতি,অধঃগতি
অধোবদন,অধঃবদন
অধ্যক্ষ,অধ্যাক্ষ
অধ্যবসায়,অধ্যাবসায়
অধ্যয়ন,অধ্যায়ণ
অধ্যাত্ম,আধ্যাত্ম
অধ্যাদেশ,অধ্যা দেশ
অধ্যাপনা,অধ্যাপণা
অধ্যুষিত,অধ্যূষিত
অনগ্রসর,অণগ্রসর
অনটন,অনাটন
অনড়,অনর
অনতিক্রমণ,অনতিক্রমন
অনতিপূর্বে,অনতিপূর্বে
অনতিবিলম্বে,অনতি বিলম্বে
অনধিক,অণধিক
অনধিকারচর্চা,অনধিকার চর্চা
অনধিকারপ্রবেশ,অধিকার প্রবেশ
অননুকরণীয়,অনণুকরণীয়
অননুমিত,অনণুমিত
অননুমোদন,অনণুমোদন
অনুমোদিত,অনুমোদীত
অনন্বয়ী,অনন্বয়ি
অনন্যসাধারণ,অনন্য সাধারণ
অনন্যোপায়,অনন্যপায়
অনবদ্য,অনাবদ্য
অনবধানবশত,অনবধানবশতঃ
অনবরত,অণবরত
অনভিপ্রেত,অনভীপ্রেত
অনভ্যস্ত,অনভ্যস্থ
অনমনীয়,অনমণীয়
অনশনকারী,অনশণকারি
অনশন ধর্মঘট,অনশনধর্মঘট
অনস্বীকার্য,অনশিকার্য
অনাকাঙ্ক্ষিত,অনাকাংখিত
অনাক্রমণ,অনাক্রমন
অনাড়ম্বর,অনারম্বড়
অনাথাশ্রম,অনাথশ্রম
অনাদায়ি,অনাদায়ী
অনাপত্তিপত্র,অনাপত্তি পত্র
অনাবশ্যক,অণাবশ্যক
অনাবাদি,অনাবাদী
অনাবাসিক,অনাবাসীক
অনাবাসী,অনাবাসি
অনাবিষ্কৃত,অনাবিস্কৃত
অনাবৃষ্টি,অনা বৃষ্টি
অনারারি,অনারারী
অনার্দ্র,অনাদ্র
অনার্য,অণার্য
অনাস্থা,অণাস্থা
অনাহারী,অনাহারি
অনাহূত (অনিমন্ত্রিত),অনাহুত
অনিচ্ছাকৃত,অনিচ্ছা কৃত
অনিচ্ছাপূর্বক,অনিচ্ছা পূর্বক
অনিচ্ছুক,অনিচ্ছূক
অনিন্দনীয়,অনিন্দ্যনীয়
অনিন্দ্য,অনিন্দ
অনিবার্য,অণিবার্য
অনিয়ন্ত্রিত,অনিয়ন্ত্রীত
অনিয়মিত,অনিয়মীত
অনিরূপিত,অনিরুপিত
অনির্ণীত,অনির্নীত
অনির্ণেয়,অনির্নেয়
অনির্দিষ্ট,অনির্দিস্ট
অনির্ধারিত,অনির্ধারীত
অনির্বচনীয়,অনির্বাচনীয়
অনির্বাণ,অনির্বান
অনিষ্ট,অনীষ্ট
অনিষ্টকর,অনিষ্ট কর
অনিষ্টকারী,অনিষ্টকারি
অনিষ্পন্ন,অনিস্পন্ন
অনীপ্সিত,অনিপ্সিত
অনীহা,অনিহা
অনুকম্পা,অণুকম্পা
অনুকরণ,অনুকরন
অনুকরণকারী,অণুকরণকারি
অনুকরণীয়,অনুকরনীয়
অনুকূল,অনুকুল
অনুক্রমণিকা,অনুক্রমনিকা
অনুক্ষণ,অণুক্ষণ
অনুগত,অণুগত
অনুগামী,অনুগামি
অনুগ্রহপূর্বক,অণুগ্রহ পূর্বক
অনুগ্রহপ্রার্থী,অনুগ্রহ প্রার্থী
অনুঘটক,অণুঘটক
অনুচর,অণুচর
অনুচিত,অণুচিত
অনুচ্চারণীয়,অণুচ্চারনীয়
অনুচ্ছেদ,অণুচ্ছেদ
অনুজঙ্ঘাস্থি,অণুজঙ্ঘাস্তি
অনুজপ্রতিম,অনুজপ্রতীম
অনুজ্জ্বল,অনুজ্জল
অনুজ্ঞা,অণুজ্ঞা
অনুজ্ঞাপত্র,অনুজ্ঞা পত্র
অনুতপ্ত,অণুতপ্ত
অনুত্তীর্ণ,অণুত্তীর্ন
অনুদান,অণুদান
অনুদিত (যা উদিত হয়নি),অনূদিত
অনুদ্‌ঘাটিত,অনুদ্ঘাটিত
অনুদ্‌বায়ী,অনুদ্বায়ী
অনুধাবন,অণুধাবন
অনুনাসিক,আনুনাসিক
অনুন্নত,অণুন্নত
অনুপযুক্ত,অনুপোযুক্ত
অনুপযোগিতা,অনুপযোগীতা
অনুপযোগী,অনুপযোগি
অনুপস্থিতি,অণুপস্থিতি
অনুপাত,অণুপাত
অনুপুঙ্খ,অনুপুংখ
অনুপূর্ব,অণুপূর্ব
অনুপ্রবেশ,অণুপ্রবেশ
অনুপ্রাণিত,অনুপ্রানিত
অনুপ্রাস,অণুপ্রাস
অনুপ্রেরণা,অনুপ্রেরনা
অনুবাদ,অনূবাদ
অনুবিধি,অনূবিধি
অনুবিভাগ,অণুবিভাগ
অনুবেদন,অণুবেদন
অনুভূতি,অনুভুতি
অনুভূতিপ্রবণ,অনুভূতি প্রবণ
অনুভূমিক,আনুভূমিক
অনুমতি,অণুমতি
অনুমতিপত্র,অনুমতি পত্র
অনুমাননির্ভর,অনুমান নির্ভর
অনুমানসাপেক্ষ,অনুমান সাপেক্ষ
অনুমিত,অনূমিত
অনুমোদনক্রমে,অনুমোদন ক্রমে
অনুমোদিত,অনুমোদীত
অনুযায়ী,অনুযায়ি
অনুযোগকারী,অনুযোগকারি
অনুরক্ত,অণুরক্ত
অনুরণন,অনুরনন
অনুরণিত,অনুরণীত
অনুরাগী,অনুরাগি
অনুরুদ্ধ,অনুরূদ্ধ
অনুরূপ,অনুরুপ
অনুরোধক্রমে,অনুরোধ ক্রমে
অনুলিখন,অণুলিখন
অনুলিপি,অণুলিপি
অনুলিপিকার,অনুলিপি কার
অনুলেখক,অনুলিখক
অনুশাসন,অণুশাসন
অনুশীলন,অনুশীলণ
অনুশীলনী,অনুশীলনি
অনুশীলিত,অনুশীলীত
অনুশোচনা,অণুশোচনা
অনুষঙ্গ,অনুসঙ্গ
অনুষঙ্গী,অনুসঙ্গী
অনুষদ,অনুসদ
অনুষ্টুপ,অনুস্টুপ
অনুষ্ঠাতব্য,অনুষ্ঠিতব্য
অনুসন্ধানকারী,অনুসন্ধানকারি
অনুসন্ধানী,অনুসন্ধানি
অনুসন্ধিৎসা,অনুসন্ধিতসা
অনুসরণ,অণুসরন
অনুসর্গ,অনুস্বর্গ
অনুসারী,অনুসারি
অনুসিদ্ধান্ত,অণুসিদ্ধান্ত
অনুস্বাক্ষর,অণুস্বাক্ষর
অনূদিত,অনুদিত
অনূর্ধ্ব,অনূর্ধ/অনুর্ধ্ব
অনেকক্ষণ,অনেক ক্ষণ
অনেকপ্রকার,অনেক প্রকার
অনেকাংশে,অনেকংশে
অনৈক্য,অন্যৈক
অনৈচ্ছিক,অনৈচ্ছীক
অনৈতিক,অনৈতীক
অন্তঃকরণ,অন্তকরণ
অন্তঃকলহ,অন্তর্কলহ
অন্তঃপুর,অন্তপুর
অন্তঃপুরবাসিনী,অন্তঃপুর বাসিনী
অন্তঃশুল্ক,অন্তশুল্ক
অন্তঃসত্ত্বা,অন্তঃসত্তা
অন্তঃসারশূন্য,অন্তসারশূন্য
অন্তঃস্থ,অন্তস্থ
অন্তরকলন,অন্তর্কলন
অন্তরঙ্গ,অন্তরংগ
অন্তরায়,অন্ত রায়
অন্তরিক্ষ,অন্তরীক্ষ
অন্তরিন,অন্তরীণ
অন্তরীপ,অন্তরিপ
অন্তর্গত,অর্ন্তগত
অন্তর্গূঢ়,অর্ন্তগুঢ়
অন্তর্ঘাত,অর্ন্তঘাত
অন্তর্ঘাতমূলক,অন্তর্ঘাত মূলক
অন্তর্ঘাতী,অন্তর্ঘাতি
অন্তর্দৃষ্টি,অন্তঃদৃষ্টি
অন্তর্দ্বন্দ্ব,অন্তর্ন্দ্বন্দ
অন্তর্ধান,অন্তঃধান
অন্তর্নিহিত,অন্তর্নিহীত
অন্তর্বর্তী,অন্তবর্তী
অন্তর্বাণিজ্য,অন্তঃবাণিজ্য
অন্তর্ভুক্ত,অন্তর্ভূক্ত
অন্তর্ভুক্তি,অন্তর্ভূক্তি
অন্তর্ভূত,অন্তর্ভুত
অন্তর্ভেদী,অন্তর্ভেদি
অন্তর্মুখী,অন্তর্মুখি
অন্তর্যামী,অন্তর্যামি
অন্তস্তল,অন্তস্থল
অন্তস্থ,অন্তঃস্থ
অন্তহীন,অন্তহিন
অন্তিম,অন্তীম
অন্তেবাসী,অন্তেবাসি
অন্ত্যজ,অন্তজ
অন্ত্যবর্ণ,অন্তবর্ণ
অন্ত্যানুপ্রাস,অন্তাণুপ্রাস
অন্ত্যোষ্টি,অন্ত্যেষ্ট্যি
অন্ত্যোষ্টিক্রিয়া,অন্ত্যেষ্ট্যি ক্রিয়া
অন্দরমহল,অন্দর মহল
অন্ধকারাচ্ছান্ন,অন্ধকারচ্ছন্ন
অন্ধবিশ্বাস,অন্ধ বিশ্বাস
অন্নচিন্তা,অন্ন চিন্তা
অন্ননালি,অন্ননালী
অন্নপ্রাশন,অন্নপ্রাসন
অন্নবস্ত্র,অন্ন বস্ত্র
অন্নসংস্থান,অন্ন সংস্থান
অন্নাভাব,অন্নভাব
অন্বেষণ,অন্বেষন
অন্যতম,অন্য তম
অন্যধর্মাবলম্বী,অন্য ধর্মাবলম্বী
অন্যমনস্ক,অন্যমনষ্ক
অন্যায্য,অন্যয্য
অন্যায়কারী,অন্যায় কারী
অন্যায়ভাবে,অন্যায় ভাবে
অন্যায়াচরণ,অন্যায়চরণ
অন্যূন,অন্যুন
অপকর্ষ,অপকর্শ
অপকারিতা,অপকারীতা
অপকারী,অপকারি
অপকীর্তি,অপকীর্তী
অপকৃতি,অপকৃতী
অপক্ব,অপক্ক
অপক্ষপাত,অ-পক্ষপাত
অপক্ষপাতিত্ব,অপক্ষপাতীত্ব
অপক্ষপাতী,অপক্ষপাতি
অপঘাত,অপ ঘাত
অপচয়কারী,অপচয়কারি
অপচেষ্টা,অপ চেষ্টা
অপত্যস্নেহ,অপত্য স্নেহ
অপথ্য,অ-পথ্য
অপদস্থ,অপদস্ত
অপনোদন,অপনদন
অপপ্রচার,অপ-প্রচার
অপপ্রয়োগ,অপ-প্রয়োগ
অপব্যবহার,অপ-ব্যবহার
অপব্যয়,অপ-ব্যয়
অপব্যয়িতা,অপব্যয়ীতা
অপব্যয়ী,অপব্যয়ি
অপভ্রংশ,অপভ্রংস
অপমানজনক,অপমান জনক
অপমানসূচক,অপমান সূচক
অপমানিত,অপমানীত
অপমৃত্যু,অপ-মৃত্যু
অপরাজিত,অ-পরাজিত
অপরাজেয়,অ-পরাজেয়
অপরাধমুক্ত,অপরাধ মুক্ত
অপরাধমূলক,অপরাধ মূলক
অপরাহ্ণ,অপরাহ্ন
অপরিকল্পিত,অপরীকল্পিত
অপরিচ্ছন্ন,অ-পরিচ্ছন্ন
অপরিণত,অপরিনত
অপরিণামদর্শিতা,অপরিণামদর্শীতা
অপরিণামদর্শী,অপরিনামদর্শী
অপরিবর্তনশীল,অপরিবর্তন শীল
অপরিবর্তনীয়,অপরিবর্তনিয়
অপরিবর্তিত,অপরিবর্তীত
অপরিবাহী,অপরিবাহি
অপরিশুদ্ধ,অপরিসুদ্ধ
অপরিশোধিত,অপরিশোধীত
অপরিষ্কার,অপরিস্কার
অপরিসর,অপরিশর
অপরিহার্য,অপরীহার্য
অপরীক্ষিত,অপরিক্ষীত
অপরূপ,অপরুপ
অপর্যাপ্ত,অ-পর্যাপ্ত
অপলাপ,অপোলাপ
অপসংস্কৃতি,অপ-সংস্কৃতি
অপসারণ,অপসারন
অপসারিত,অপসারীত
অপসিদ্ধান্ত,অপ-সিদ্ধান্ত
অপস্রিয়মাণ,অপসৃয়মাণ
অপহরণ,অপহরন
অপাঙ্‌ক্তেয়,অপাঙতেয়
অপারগ,অ-পারগ
অপারগতা,অ-পারগতা
অপুষ্টি,অপুস্টি
অপুষ্পক,অপুস্পক
অপূরণীয়,অপূরনীয়
অপেক্ষমাণ,অপেক্ষমান
অপেক্ষাকৃত,অপেক্ষা কৃত
অপেশাদারি,অপেশাদারী
অপ্রকাশিত,অ-প্রকাশিত
অপ্রকৃতিস্থ,অপ্রকৃতস্থ
অপ্রচলিত,অপ্রচলীত
অপ্রতিকার্য,অপ্রতিকার্য্য
অপ্রতিদ্বন্দ্বী,অপ্রতিদ্বন্দি
অপ্রতিরোধ্য,অ-প্রতিরোধ্য
অপ্রতুল,অ-প্রতুল
অপ্রত্যাশিত,অপ্রত্যাশীত
অপ্রধান,অ-প্রধান
অপ্রয়োজনীয়,অ-প্রয়োজনীয়
অপ্রশস্ত,অ-প্রশস্ত
অপ্রাকৃত,অ-প্রাকৃত
অপ্রাপ্তবয়স্ক,অপ্রাপ্তবয়ষ্ক
অপ্রামাণিক,অপ্রামাণীক
অপ্রামাণ্য,অ-প্রামান্য
অপ্রাসঙ্গিক,অ-প্রাসঙ্গিক
অপ্রীতিকর,অপ্রিতিকর
অফসেট,অপসেট
অফিসীয়,অফিসিয়
অবকলন,অবকলণ
অবকলিত,অবকলীত
অবকাঠামো,অব-কাঠামো
অবকাশযাপন,অবকাশ  যাপন
অবক্ষয়,অব ক্ষয়
অবগতি,অবগতী
অবগাহন,অবগাহণ
অবগুণ্ঠন,অবগুন্ঠন
অবচেতন,অবচেতনা
অবতরণ,অবতরন
অবতরণিকা,অবতরনিকা
অবতারণা,অবতারনা
অবতীর্ণ,অবতীর্ন
অবদমন,অবদমণ
অবদমিত,অবদমীত
অবদলিযোগ্য,অবদলী যোগ্য
অবধারিত,অবধারীত
অবনমন,অবনমণ
অববাহিকা,অববাহীকা
অবমাননা,অবমাণনা
অবমুক্ত,অব মুক্ত
অবমূল্যায়ন,অবমূল্যায়ণ
অবরোধপ্রথা,অবরোধ প্রথা
অবরোহণ,অবরোহন
অবরোহী,অবরোহি
অবর্ণনীয়,অবর্ননীয়
অবলীলা,অবলিলা
অবলুপ্তি,অবলুপ্তী
অবলোকন,অবলোকণ
অবলোহিত রশ্মি,অবলোহিতরশ্মি
অবশিষ্টাংশ,অবশিষ্টাংস
অবশ্যকরণীয়,অবশ্য করণীয়
অবশ্যকর্তব্য,অবশ্য কর্তব্য
অবশ্যপালনীয়,অবশ্য পালনীয়
অবশ্যম্ভাবিতা,অবশ্যম্ভাবীতা
অবশ্যম্ভাবী,অবশ্যম্ভাবি
অবসরকালীন,অবসরকালিন
